,"arts, culture and entertainment","crime, law and justice",disaster and accident,"economy, business and finance",education,environmental issue,health,human interest,labour,lifestyle and leisure,politics,religion and belief,science and technology,social issue,sport,"unrest, conflicts and war",weather,high_label
0,0.771392778984689,0.7429644813750891,0.737263416108227,0.7572559013519378,0.741412521396479,0.7520117075897351,0.738935036702441,0.7312120390602163,0.7355018675937319,0.755429937472034,0.7538048559082403,0.7298517623074521,0.7398927572664267,0.7496423465909267,0.787331722879635,0.7299427489330546,0.7797284628054083,sport
1,0.7173961244301763,0.6822770314344716,0.7018293081463456,0.7000883243008041,0.7015385697772881,0.6995947444586424,0.7059327848534658,0.6981405954421824,0.7187533197499686,0.6970161557970111,0.6942096487972743,0.6965162002970318,0.7031242467892225,0.6757518511197558,0.7086813811609316,0.7099181994314545,0.8093299236394078,weather
2,0.7355169506721912,0.6987018147580937,0.7146692045565949,0.7179382826139614,0.7023392068673062,0.6921075072944561,0.7208245702298267,0.7088486284067066,0.7181341608720327,0.7148459429816467,0.705416745979889,0.6922028777329958,0.701731668783738,0.6841235502554297,0.7195356914876132,0.6964150820623355,0.7286079925963533,"arts, culture and entertainment"
3,0.7442855846063953,0.7649992949968053,0.7437213400143871,0.7374975210146512,0.7575835411026204,0.744129544864782,0.7389011494669274,0.7575307864548564,0.7388008252377073,0.736166024116586,0.7760041527629299,0.7426241651370585,0.7247729639924921,0.7759299914949113,0.7391495739683188,0.7805594595408359,0.7247796830978422,"unrest, conflicts and war"
4,0.7250369283009866,0.7279118888146328,0.7060665474044774,0.7445616399855648,0.7452020171679785,0.7234673207327915,0.7343377164936751,0.7394796312777384,0.7781366079334543,0.729309317061964,0.747599130887696,0.7242629381591564,0.7284906099322841,0.7350388883780233,0.7291862402941809,0.7296218912905568,0.7504093048681862,labour
5,0.7239559165447723,0.715696105934022,0.7349116985707741,0.7327153910999512,0.727640951588875,0.7127718370329801,0.7306908399075013,0.720140457964752,0.7358059129100275,0.7326071740995501,0.7325349614457117,0.7107486679456759,0.7138927722365209,0.7242407086437809,0.7707038952024299,0.7173644526431185,0.7637174071996655,sport
6,0.7417053064193622,0.7589343896183535,0.7393861427446506,0.7416546398109438,0.7416708223905178,0.7337475351693272,0.7333195367012926,0.7472675348305683,0.7401358054357657,0.7359658842450828,0.7694890460241333,0.7414112339248796,0.7176970041634727,0.7464110101546129,0.7526006530212137,0.7743572962884506,0.7485237480119291,"unrest, conflicts and war"
7,0.7363040354109458,0.7466057616595917,0.7599502020843136,0.7466851497248911,0.7457310846101636,0.7298212585000522,0.7363366914336047,0.7467175740652435,0.7581081675446408,0.7351844133475155,0.7596234988669505,0.72450873156836,0.7266509501768719,0.7402941930501487,0.7477717169383751,0.7920934745092502,0.7460075230018907,"unrest, conflicts and war"
8,0.7281947219450099,0.7428120273923113,0.719539086828205,0.7333315490929504,0.7501650134088675,0.7128144326818195,0.7310079364437104,0.7477918946262305,0.739480990700226,0.7234990158866617,0.7442025767843946,0.7356417607656538,0.720321685368894,0.7337019830806502,0.7380426447040399,0.7385579888573942,0.7310834294239826,education
9,0.7105324697040534,0.6949373634077939,0.7100366867846666,0.7084865747852411,0.7188329290097218,0.6933566706942372,0.7192601641499683,0.7022850454493459,0.7192764478125063,0.7165999657887084,0.7104667387872878,0.6960768938651538,0.7047625120122666,0.7022267097265938,0.7559499720988612,0.6995568774053335,0.7290534356452804,sport
10,0.7207569150237527,0.7544160905589725,0.7653761165634447,0.7025581718052178,0.7424458167740873,0.7363165816896002,0.7432854363893685,0.7450424829851132,0.74793769851387,0.739783012765946,0.7271532930136069,0.7141600629835776,0.7077196307599236,0.7349357701601577,0.7500424221483543,0.7090166163834951,0.7422911069313605,disaster and accident
