"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5839777099.13096","5156523267.17888","3001096399.91255","2736999952.93467","2884798026.4592","3083849044.69748","3264729149.67663","3373153406.74185","3619393605.01945","3738833594.00614","3959424776.16919","4339529554.65276","4912347455.77734","5600076099.66232","6188084090.06079","7048227778.52437","7978593845.25196","9071661202.17488","9697605825.16392","8330243403.74794","8513508758.64832","8913643670.19191","9555426014.53173","9870755073.01128","10226102255.6979","10553337527.7745","10574444202.8117","11367527518.1962","11958638949.103","12867495509.0601","11941035832.5099","12621674874.8006","14212005909.0254",
"American Samoa","ASM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","744923664.122138","752116030.534351","755198473.282443","752116030.534351","721291603.053435","734648854.961832","715126717.557252","685329770.992367","687384732.824428","687384732.824428","657587786.259542","641148091.603054","652450381.679389","673000000","661697709.923664","615461068.70229","631900763.358779","628818320.610687","660670229.007634","648340458.015267","",
"Antigua and Barbuda","ATG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","346269196.835313","361448350.025752","390652456.234319","422535286.105219","438654653.041089","438286129.335081","461795868.619111","508737398.358923","547624235.021329","610567225.785409","651025662.213755","684965406.613787","720941671.103003","742654377.271652","758818833.53906","767609561.473437","808138415.274982","862095450.251678","824511645.778324","878966185.317249","927059773.66768","970920131.234148","1006918139.9154","1069381614.5052","1020746101.54234","1031233675.39432","1093897040.21001","1156982395.5026","1231883484.14811","1388433067.06436","1517770927.22872","1517553268.98274","1336012965.82455","1231261603.44532","1207145958.1923","1247861376.20468","1240363271.73109","1287444082.93699","1336692592.59259","1410163355.6217","1454507891.73534","1553760051.89993","1621256318.17727","1337501037.50621","1425172890.58393","1545724464.81893",
"Australia","AUS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","204995471189.354","210084803713.297","212804585217.598","226032746661.201","241809970565.327","256271265702.825","262368060394.983","278910222847.194","293118003868.181","313769879266.95","336285742851.857","349740308520.899","363416149517.068","372935384782.122","388251740538.025","393439987529.393","403625246875.107","418134900196.679","421869470866.782","438955296539.95","452280174351.701","467384047177.581","482923876359.888","472181032497.802","493862351057.547","519929610372.882","540551445081.544","554385549225.594","586303416114.162","609025168331.264","630806866757.952","628390422953.754","631083827266.741","656626473554.846","682766270146.292","709306120805.989","736662931696.639","765487340203.969","800802003173.879","840492349102.757","873281396004.422","891108713833.396","926695941113.543","955529142017.977","995820301748.99","1027226011506.23","1055378534334.83","1095249857104.1","1134331329533.5","1155548849145.99","1181046800748.81","1209290178347.49","1256476775507.65","1288878224236.96","1322118614189.98","1350580336316.75","1387458580571.73","1419122933343.79","1460036887869.7","1491740073728.97","1490980996778.96","1524322499298.68","1579466215838.34",
"Austria","AUT","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","84930957865.7421","89634416745.9454","92008541234.9355","95816100869.1366","101684217823.965","105223006468.235","111160594895.654","114504358722.384","119625351794","127132879969.536","135169130645.024","142082989214.129","150903303811.962","158283132276.333","164522871893.839","163924443911.638","171429635128.008","180138227325.32","179758759493.059","189387896783.516","192667120935.942","192389112509.963","196258547592.121","202093486979.047","202197109935.467","207249365643.959","212018988476.745","214896442478.295","221979171128.378","230607667590.116","240629049863.283","248910606082.174","254121610895.057","255460346929.86","261596808649.455","268576168421.57","274886456416.226","280641477589.641","290692443914.523","301030430129.082","311192381028.414","315135711888.113","320340348097.004","323356259321.687","332200441760.824","339655236682.676","351387070656.34","364484726093.492","369807747327.812","355886045571.664","362424005611.476","373016924602.914","375555101767.152","375650886015","378134963330.691","381971148530.543","389570224508.691","398368950204.699","408030932405.258","414222347188.812","387488567518.429","405145843845.507","425390748326.359",
"Azerbaijan","AZE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20240095492.0804","20098414788.074","15556172980.3592","11962697221.1959","9606045720.29194","8472532411.01398","8582675281.91495","9080470460.96475","9988517471.78695","10727667894.5085","11918438938.9095","13098364377.8117","14334708024.0505","15798037937.3299","17259957055.9109","22086106525.5606","29705813276.8791","37132266552.006","41127318963.6909","44950664132.9044","47220198223.4226","47267418486.7271","48290871290.5402","51096474737.7166","52501886757.7837","53076244754.5037","51430881230.6077","51533742961.6749","52306749106.1","53614417869.0268","51308997845.8071","54190742583.0465","56692470658.4522",
"Burundi","BDI","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","798536036.287483","688768194.284675","751192343.53093","782257207.45772","831328498.563835","864309175.656104","904179696.524938","1029151061.47643","1026085388.48893","1011109250.0872","1226735079.51034","1260431390.8962","1179713806.73113","1260984889.21545","1251819552.16038","1260556254.13581","1360677963.81536","1516740283.95403","1502474189.03662","1527489707.423","1542627981.61882","1730262074.0404","1712032035.93915","1775639624.27166","1778401525.2569","1987953781.27806","2052565866.62507","2165520539.18196","2274468405.19123","2305162407.18818","2385838991.38829","2505055463.6987","2530356483.07461","2372462238.49557","2281596934.85139","2100894457.52565","1932822900.96686","1902091016.90221","1992440340.11178","1972316692.74643","1955416619.88798","1995616213.75755","2084351676.09624","2058844881.84624","2158362397.41061","2177787659.00678","2295688882.89115","2374934882.31387","2490397480.19592","2585349994.72539","2717827464.87029","2827426574.90458","2953153931.41849","3098572838.99203","3229972474.72051","3104003545.60675","3085379496.11411","3100806432.54541","3150727413.6482","3207836406.20224","3218331064.10969","3318099327.05546","3379450983.57931",
"Belgium","BEL","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","107409842457.407","112757158826.444","118634065901.415","123796527265.888","132408661378.724","137123283408.933","141450750228.824","146922273105.169","153084383687.119","163233571843.436","172346670831.88","179216111161.922","188706688044.546","200749386449.419","209914113819.734","205787325003.57","217419959648.709","218781345279.661","224998884653.738","230266272692.697","240499429910.323","239827755215.623","241254698634.742","242007033807.079","247975853676.465","252071901218.968","256666571621.109","262586995647.719","274989527944.74","284529373856.785","293456205020.658","298835475229.994","303409615205.607","300491199097.648","310187964527.328","317585194591.875","321781927100.664","333989231728.476","340541460104.062","352605970422.851","365711203833.047","369732633305.117","376043542626.992","379946808976.211","393515485920.82","402651880769.961","412928965821.953","428111873071.133","430025228051.015","421335523091.64","433403805754.258","440747893479.883","444005978083.203","446045040873.594","453086009677.5","462335574841.484","468191916732.07","475774660680.469","484305039588.75","495257928942.422","468699296976.953","498161413225.898","514340884953.437",
"Benin","BEN","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1651120631.20698","1702986960.90688","1644635648.42826","1722427374.61861","1836981870.4635","1934229170.87415","2003394550.95633","2024999131.08149","2102806394.29528","2163314605.68904","2208695701.82018","2175635020.7364","2315449323.60297","2401263703.41501","2481449394.19509","2359973874.26701","2380844452.6776","2499497734.13223","2530868380.99745","2696279545.78613","2879134857.79855","3165730597.15583","3236486776.27533","3095770068.39576","3341259668.13685","3592867374.83073","3670873612.96399","3615810400.3938","3738937613.95942","3632222333.60336","3958255490.52115","4125523428.11008","4247544481.22213","4495438486.53376","4586264345.83802","4863513136.17711","5073825258.08587","5364793325.33994","5577293440.15279","5875201745.58889","6219354272.83808","6551040876.24789","6855207726.48719","7091272067.69734","7405393051.15167","7532259620.70017","7829312267.99939","8298002249.8545","8704320326.47528","8906198943.57178","9094481753.90831","9364019722.36152","9814543622.52939","10520350022.2063","11189200116.5961","11388160997.1088","11768488383.6731","12435944730.2686","13268812215.2663","14179807375.1013","14725558723.7316","15779238957.7758","16765953415.373",
"Burkina Faso","BFA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1166782786.0204","1213966641.54151","1288368214.26088","1272031494.3635","1301069673.84909","1350049032.15477","1357307072.38747","1477066550.56018","1522423925.23917","1553269467.74489","1555087097.62885","1577065763.77219","1613519619.05541","1620769604.88049","1755073486.605","1807697309.85843","1961982376.46191","1969248648.11157","2059988179.62466","2135478949.60146","2152496130.30734","2244091371.20799","2458675800.49601","2467182443.57693","2423298751.17278","2629699950.6355","2838902120.38627","2832192750.26803","2996335114.04591","3060764327.35474","3042310107.59348","3318247161.53993","3325969079.78948","3441093672.60835","3486344304.64302","3685636779.23723","4091600230.43244","4350059854.99909","4667950033.15576","5013156038.54506","5107828181.35108","5445629583.76155","5682675869.85199","6126066307.31202","6400419254.74773","6954815456.68087","7389711520.94576","7693530569.88021","8139754707.52872","8380850241.98175","9088720451.97261","9690626654.63111","10315931044.178","10913490102.4739","11385699970.3649","11832159315.9778","12537116612.0228","13314855313.5218","14194244129.024","15001629079.6751","15291209259.6414","16347272417.1034","16589097722.6376",
