hlabel,label_mid,labeltext,label
"crime, law and justice",corporate crime,"crime, law and justice_corporate crime",12
"economy, business and finance",media,"economy, business and finance_media",41
sport,boxing,sport_boxing,115
sport,diving,sport_diving,120
sport,karate,sport_karate,133
environmental issue,natural resources,environmental issue_natural resources,51
sport,nordic skiing,sport_nordic skiing,139
"unrest, conflicts and war",civil unrest,"unrest, conflicts and war_civil unrest",161
education,teaching and learning,education_teaching and learning,48
politics,state budget and tax,politics_state budget and tax,81
social issue,minority group,social issue_minority group,101
lifestyle and leisure,game,lifestyle and leisure_game,68
sport,American football,sport_American football,107
sport,motorcycling,sport_motorcycling,138
sport,orienteering,sport_orienteering,140
environmental issue,environmental pollution,environmental issue_environmental pollution,50
health,medical specialisation,health_medical specialisation,58
"arts, culture and entertainment",entertainment (general),"arts, culture and entertainment_entertainment (general)",3
"economy, business and finance",computing and information technology,"economy, business and finance_computing and information technology",31
"economy, business and finance",business (general),"economy, business and finance_business (general)",28
sport,wrestling,sport_wrestling,160
"economy, business and finance",metal and mineral,"economy, business and finance_metal and mineral",42
sport,freestyle Skiing,sport_freestyle Skiing,127
sport,bobsleigh,sport_bobsleigh,114
disaster and accident,meteorological disaster,disaster and accident_meteorological disaster,25
disaster and accident,transport accident,disaster and accident_transport accident,26
politics,defence,politics_defence,72
sport,"athletics, track and field","sport_athletics, track and field",109
sport,ski jumping,sport_ski jumping,147
science and technology,engineering,science and technology_engineering,93
"crime, law and justice",crime,"crime, law and justice_crime",13
